date,year,month,dmi
1925-10-01,1925,10,0.103
1925-11-01,1925,11,0.118
1925-12-01,1925,12,-0.153
1926-01-01,1926,1,-0.003
1926-02-01,1926,2,-0.358
1926-03-01,1926,3,-0.041
1926-04-01,1926,4,-0.247
1926-05-01,1926,5,-0.084
1926-06-01,1926,6,0.147
1926-07-01,1926,7,-0.231
1926-08-01,1926,8,-0.007
1926-09-01,1926,9,-0.405
1926-10-01,1926,10,-0.115
1926-11-01,1926,11,-0.49
1926-12-01,1926,12,-0.422
1927-01-01,1927,1,-0.202
1927-02-01,1927,2,0.042
1927-03-01,1927,3,-0.202
1927-04-01,1927,4,-0.398
1927-05-01,1927,5,-0.256
1927-06-01,1927,6,-0.168
1927-07-01,1927,7,-0.576
1927-08-01,1927,8,-0.611
1927-09-01,1927,9,-0.664
1927-10-01,1927,10,-0.602
1927-11-01,1927,11,-0.287
1927-12-01,1927,12,-0.378
1928-01-01,1928,1,-0.377
1928-02-01,1928,2,-0.36
1928-03-01,1928,3,-0.277
1928-04-01,1928,4,-0.313
1928-05-01,1928,5,-0.268
1928-06-01,1928,6,-0.465
1928-07-01,1928,7,-0.64
1928-08-01,1928,8,-0.891
1928-09-01,1928,9,-0.87
1928-10-01,1928,10,-0.732
1928-11-01,1928,11,-0.207
1928-12-01,1928,12,-0.372
1929-01-01,1929,1,-0.284
1929-02-01,1929,2,-0.362
1929-03-01,1929,3,-0.238
1929-04-01,1929,4,-0.222
1929-05-01,1929,5,-0.361
1929-06-01,1929,6,-0.247
1929-07-01,1929,7,-0.389
1929-08-01,1929,8,-0.487
1929-09-01,1929,9,-0.305
1929-10-01,1929,10,-0.356
1929-11-01,1929,11,-0.281
1929-12-01,1929,12,-0.024
1930-01-01,1930,1,-0.423
1930-02-01,1930,2,-0.513
1930-03-01,1930,3,-0.32
1930-04-01,1930,4,-0.245
1930-05-01,1930,5,-0.444
1930-06-01,1930,6,-0.138
1930-07-01,1930,7,-0.405
1930-08-01,1930,8,-0.33
1930-09-01,1930,9,-0.802
1930-10-01,1930,10,-0.417
1930-11-01,1930,11,0.112
1930-12-01,1930,12,-0.114
1931-01-01,1931,1,-0.058
1931-02-01,1931,2,-0.334
1931-03-01,1931,3,-0.548
1931-04-01,1931,4,-0.524
1931-05-01,1931,5,-0.258
1931-06-01,1931,6,-0.28
1931-07-01,1931,7,-0.414
1931-08-01,1931,8,-0.502
1931-09-01,1931,9,-1.011
1931-10-01,1931,10,-0.596
1931-11-01,1931,11,-0.184
1931-12-01,1931,12,-0.812
1932-01-01,1932,1,-0.426
1932-02-01,1932,2,-0.58
1932-03-01,1932,3,-0.438
1932-04-01,1932,4,-0.126
1932-05-01,1932,5,-0.378
1932-06-01,1932,6,-0.396
1932-07-01,1932,7,-0.246
1932-08-01,1932,8,-0.489
1932-09-01,1932,9,-0.403
1932-10-01,1932,10,-0.729
1932-11-01,1932,11,-0.314
1932-12-01,1932,12,-0.033
1933-01-01,1933,1,-0.189
1933-02-01,1933,2,-0.092
1933-03-01,1933,3,0.039
1933-04-01,1933,4,0.177
1933-05-01,1933,5,-0.344
1933-06-01,1933,6,-0.307
1933-07-01,1933,7,-0.469
1933-08-01,1933,8,-0.631
1933-09-01,1933,9,-1.567
1933-10-01,1933,10,-0.986
1933-11-01,1933,11,-0.604
1933-12-01,1933,12,-0.472
1934-01-01,1934,1,-0.611
1934-02-01,1934,2,-0.251
1934-03-01,1934,3,-0.166
1934-04-01,1934,4,-0.134
1934-05-01,1934,5,-0.2
1934-06-01,1934,6,-0.016
1934-07-01,1934,7,-0.325
1934-08-01,1934,8,-0.012
1934-09-01,1934,9,-0.498
1934-10-01,1934,10,-0.322
1934-11-01,1934,11,-0.155
1934-12-01,1934,12,-0.16
1935-01-01,1935,1,0.008
1935-02-01,1935,2,-0.054
1935-03-01,1935,3,0.119
1935-04-01,1935,4,-0.216
1935-05-01,1935,5,0.063
1935-06-01,1935,6,0.091
1935-07-01,1935,7,0.052
1935-08-01,1935,8,-0.025
1935-09-01,1935,9,-0.246
1935-10-01,1935,10,-0.304
1935-11-01,1935,11,0.119
1935-12-01,1935,12,0.022
1936-01-01,1936,1,0.086
1936-02-01,1936,2,-0.389
1936-03-01,1936,3,-0.211
1936-04-01,1936,4,-0.069
1936-05-01,1936,5,-0.192
1936-06-01,1936,6,0.064
1936-07-01,1936,7,-0.073
1936-08-01,1936,8,-0.437
1936-09-01,1936,9,-0.446
1936-10-01,1936,10,-0.692
1936-11-01,1936,11,-0.063
1936-12-01,1936,12,-0.318
1937-01-01,1937,1,-0.113
1937-02-01,1937,2,-0.231
1937-03-01,1937,3,-0.256
1937-04-01,1937,4,-0.403
1937-05-01,1937,5,0.042
1937-06-01,1937,6,-0.297
1937-07-01,1937,7,-0.547
1937-08-01,1937,8,-0.252
1937-09-01,1937,9,-0.09
1937-10-01,1937,10,-0.304
1937-11-01,1937,11,-0.115
1937-12-01,1937,12,-0.139
1938-01-01,1938,1,-0.084
1938-02-01,1938,2,-0.217
1938-03-01,1938,3,0.009
1938-04-01,1938,4,-0.345
1938-05-01,1938,5,0.016
1938-06-01,1938,6,-0.407
1938-07-01,1938,7,-0.621
1938-08-01,1938,8,-0.149
